organism	ph
Sphingomonas natatoria	7.27
Sphingomonas oligophenolica	7
Sphingomonas oryziterrae	7
Sphingomonas panni	7.2
Sphingomonas parapaucimobilis	7.3
Sphingomonas paucimobilis	7
Sphingomonas phyllosphaerae	7
Sphingomonas pituitosa	7
Sphingomonas polyaromaticivorans	7
Sphingomonas pruni	7
Sphingomonas pseudosanguinis	7
Sphingomonas roseiflava	7.2
Sphingomonas rubra	7.2
Sphingomonas sanxanigenens	7.3
Sphingomonas sediminicola	7.2
Sphingomonas soli	7.2
Sphingomonas sp.	7.09
Sphingomonas starnbergensis	7.2
Sphingomonas suberifaciens	7.2
Sphingomonas taejonensis	7.3
Sphingomonas ursincola	7.1
Sphingomonas wittichii	6.95
Sphingomonas xenophaga	7.12
Sphingomonas xinjiangensis	7
Sphingomonas yabuuchiae	7.3
Sphingomonas yantingensis	7
Sphingomonas yunnanensis	7
Sphingopyxis alaskensis	7.3
Sphingopyxis baekryungensis	7.6
Sphingopyxis bauzanensis	7
Sphingopyxis chilensis	7.3
Sphingopyxis flavimaris	7.6
Sphingopyxis ginsengisoli	7.2
Sphingopyxis granuli	7.2
Sphingopyxis indica	7.3
Sphingopyxis italica	7.3
Sphingopyxis litoris	7.6
Sphingopyxis macrogoltabida	7
Sphingopyxis marina	7.6
Sphingopyxis panaciterrae	7
Sphingopyxis panaciterrulae	7.15
Sphingopyxis rigui	7.2
Sphingopyxis soli	7.2
Sphingopyxis taejonensis	7.3
Sphingopyxis terrae	7
Sphingopyxis ummariensis	7
Sphingopyxis witflariensis	7.1
Sphingopyxis wooponensis	7.2
Sphingorhabdus flavimaris	7.6
Sphingorhabdus litoris	7.6
Sphingorhabdus marina	7.6
Sphingorhabdus rigui	7.2
Sphingorhabdus wooponensis	7.2
Sphingosinicella microcystinivorans	7.2
Sphingosinicella soli	7.3
Sphingosinicella vermicomposti	7.2
Sphingosinicella xenopeptidilytica	7.15
Spinactinospora alkalitolerans	7.6
Spirilliplanes yamanashiensis	7.2
Spirillospora albida	7.23
Spirillum winogradskyi	7.2
Spirochaeta africana	9.7
Spirochaeta alkalica	9.7
Spirochaeta americana	9.4
Spirochaeta asiatica	9.7
Spirochaeta aurantia	7.15
Spirochaeta bajacaliforniensis	7.5
Spirochaeta caldaria	7
Spirochaeta cellobiosiphila	6.6
Spirochaeta coccoides	7.4
Spirochaeta dissipatitropha	9.4
Spirochaeta halophila	7.5
Spirochaeta isovalerica	7.5
Spirochaeta litoralis	7.2
Spirochaeta perfilievii	7.5
Spirochaeta smaragdinae	7
Spirochaeta sp.	7.32
Spirochaeta stenostrepta	7.6
Spirochaeta thermophila	6.98
Spirochaeta zuelzerae	7.5
Spiroplasma eriocheiris	7.4
Spirosoma endophyticum	7.25
Spirosoma luteum	7.2
Spirosoma panaciterrae	7.2
Spirosoma sp.	7.2
Spirosoma spitsbergense	7.2
Spongiibacter marinus	7.6
Spongiibacter tropicus	7.6
Spongiibacterium flavum	7.6
Spongiispira norvegica	7.6
Spongipellis litschaueri	5.6
Sporacetigenium mesophilum	7.2
Sporanaerobacter acetigenes	7.1
Sporichthya brevicatena	7.4
Sporichthya polymorpha	7.2
Sporobacter termitidis	7
Sporobacterium olearium	7.1
Sporocytophaga myxococcoides	7.2
Sporohalobacter lortetii	6.5
Sporohalobacter marismortui	6.5
Sporolactobacillus inulinus	6.35
Sporolactobacillus laevolacticus	6.76
Sporolactobacillus vineae	6.35
Sporolituus thermophilus	6.5
Sporomusa acidovorans	7
Sporomusa aerivorans	7.3
Sporomusa malonica	7
Sporomusa ovata	7
Sporomusa paucivorans	7
Sporomusa rhizae	7
Sporomusa silvacetica	6.8
Sporomusa sphaeroides	7
Sporomusa termitida	7
Sporosalibacterium faouarense	6.9
Sporosarcina antarctica	7.6
Sporosarcina aquimarina	7.3
Sporosarcina contaminans	7.3
Sporosarcina globispora	7.3
Sporosarcina halophila	7.6
Sporosarcina koreensis	7.3
Sporosarcina luteola	7.3
Sporosarcina macmurdoensis	7.3
Sporosarcina newyorkensis	7.3
Sporosarcina pasteurii	7.46
Sporosarcina psychrophila	7.24
Sporosarcina soli	7.3
Sporosarcina sp.	7.1
Sporosarcina thermotolerans	7.3
Sporosarcina ureae	7.5
Sporotalea propionica	7.3
Sporothrix fungorum	5.6
Sporotomaculum hydroxybenzoicum	7.2
Sporotomaculum syntrophicum	6.93
Stackebrandtia albiflava	7.2
Stackebrandtia nassauensis	7.2
Stakelama pacifica	7.6
Stakelama sediminis	7.2
Staleya guttiformis	7.5
Stanierella latercula	7.4
Staphylococcus agnetis	7.1
Staphylococcus arlettae	7.17
Staphylococcus aureus	7.1
Staphylococcus auricularis	7.1
Staphylococcus capitis	7.13
Staphylococcus caprae	7.1
Staphylococcus carnosus	7.1
Staphylococcus caseolyticus	7.2
Staphylococcus chromogenes	7.1
Staphylococcus cohnii	7.19
Staphylococcus condimenti	7.1
Staphylococcus delphini	7.1
Staphylococcus devriesei	7.1
Staphylococcus epidermidis	7.16
Staphylococcus equorum	7.15
Staphylococcus felis	7.1
Staphylococcus fleurettii	7.1
Staphylococcus gallinarum	7.1
Staphylococcus haemolyticus	7.23
Staphylococcus hominis	7.21
Staphylococcus hyicus	7.1
Staphylococcus intermedius	7.1
Staphylococcus jettensis	7.1
Staphylococcus kloosii	7.17
Staphylococcus lentus	7.1
Staphylococcus lugdunensis	7.14
Staphylococcus lutrae	7.1
Staphylococcus massiliensis	7.1
Staphylococcus microti	7.1
Staphylococcus muscae	7.1
Staphylococcus nepalensis	7.1
Staphylococcus pasteuri	7.16
Staphylococcus pettenkoferi	7.1
Staphylococcus piscifermentans	7.1
Staphylococcus pseudintermedius	7.1
Staphylococcus pulvereri	7.1
Staphylococcus rostri	7.1
Staphylococcus saccharolyticus	7.2
Staphylococcus saprophyticus	7.21
Staphylococcus schleiferi	7.1
Staphylococcus sciuri	7.1
Staphylococcus simiae	7.1
Staphylococcus simulans	7.1
Staphylococcus sp.	7.23
Staphylococcus staphylolyticus	7.1
Staphylococcus stepanovicii	7.1
Staphylococcus succinus	7.1
Staphylococcus vitulinus	7.1
Staphylococcus vitulus	7.1
Staphylococcus warneri	7.12
Staphylococcus xylosus	7.17
Staphylothermus hellenicus	6.5
Staphylothermus marinus	6
Stappia aggregata	7.6
Stappia alba	7.6
Stappia kahanamokuae	7.6
Stappia marina	7.6
Stappia stellulata	7.6
Starkeya koreensis	7.2
Starkeya novella	7.9
Starkeya sp.	6.85
Starmera quercuum	6.5
Stella humosa	7.05
Stella vacuolata	7.05
Stemphylium botryosum	7.2
Stenotrophomonas acidaminiphila	7.15
Stenotrophomonas africana	7.27
Stenotrophomonas chelatiphaga	7
Stenotrophomonas dokdonensis	7.3
Stenotrophomonas ginsengisoli	7
Stenotrophomonas humi	7.3
Stenotrophomonas koreensis	7.3
Stenotrophomonas maltophilia	7.27
Stenotrophomonas nitritireducens	7
Stenotrophomonas pavanii	7
Stenotrophomonas rhizophila	7.1
Stenotrophomonas sp.	7.15
Stenotrophomonas terrae	7.3
Stenoxybacter acetivorans	7.2
Stephanoascus farinosus	5.6
Stereum complicatum	5.6
Stereum hirsutum	5.6
Stereum rugosum	5.6
Stereum sanguinolentum	5.6
Steroidobacter denitrificans	7.18
Sterolibacterium denitrificans	7.14
Stetteria hydrogenophila	6.5
Stigmatella aurantiaca	7.2
Stigmatella erecta	7.2
Stigmatella hybrida	7.2
Stomatobaculum longum	7.2
Stomatococcus mucilaginosus	7.3
Streptacidiphilus albus	7.2
Streptacidiphilus carbonis	7.25
Streptacidiphilus durhamensis	7.2
Streptacidiphilus griseisporus	7.2
Streptacidiphilus hamsterleyensis	7.2
Streptacidiphilus jiangxiensis	7.2
Streptacidiphilus luteoalbus	7.2
Streptacidiphilus neutrinimicus	7.3
Streptacidiphilus oryzae	7.2
Streptacidiphilus sp.	7.2
Streptoalloteichus hindustanus	7.2
Streptoalloteichus tenebrarius	7.2
Streptobacillus moniliformis	7
Streptococcus acidominimus	7.2
Streptococcus adjacens	7.2
Streptococcus agalactiae	7.1
Streptococcus alactolyticus	7.2
Streptococcus anginosus	7.1
Streptococcus australis	7.1
Streptococcus avium	7.2
Streptococcus caballi	7.1
Streptococcus canis	7.1
Streptococcus caprinus	7.1
Streptococcus casseliflavus	7.1
Streptococcus castoreus	6.8
Streptococcus cecorum	7.1
Streptococcus constellatus	7.13
Streptococcus cremoris	7.1
Streptococcus criceti	7.1
Streptococcus cricetus	7.1
Streptococcus crista	7.8
Streptococcus cristatus	7.8
Streptococcus danieliae	7.1
Streptococcus defectivus	7.2
Streptococcus dentapri	7.1
Streptococcus dentasini	7.1
Streptococcus dentirousetti	7.1
Streptococcus dentisani	7.1
Streptococcus devriesei	7.1
Streptococcus diacetilactis	7.1
Streptococcus didelphis	7.1
Streptococcus difficile	7.1
Streptococcus difficilis	7.1
Streptococcus downei	7.1
Streptococcus durans	7.1
Streptococcus dysgalactiae	7.1
Streptococcus entericus	7.1
Streptococcus equi	7.1
Streptococcus equinus	7.2
Streptococcus equisimilis	7.1
Streptococcus faecalis	7.11
Streptococcus faecium	7.1
Streptococcus ferus	7.15
Streptococcus gallinaceus	7.1
Streptococcus gallinarum	7.1
Streptococcus gallolyticus	7.1
Streptococcus garvieae	7.1
Streptococcus gordonii	7.1
Streptococcus halichoeri	7.1
Streptococcus hansenii	7.2
Streptococcus hongkongensis	7.1
Streptococcus hyointestinalis	7.1
Streptococcus hyovaginalis	7.1
Streptococcus infantarius	7.1
Streptococcus infantis	7.1
Streptococcus iniae	7.1
Streptococcus intermedius	7.1
Streptococcus intestinalis	7.2
Streptococcus lactis	7.1
Streptococcus lutetiensis	7.1
Streptococcus macacae	7.1
Streptococcus macedonicus	7.1
Streptococcus marimammalium	7.1
Streptococcus merionis	7.1
Streptococcus minor	7.1
Streptococcus mitis	7.1
Streptococcus morbillorum	7.2
Streptococcus mutans	7.1
Streptococcus oralis	7.23
Streptococcus orisasini	7.1
Streptococcus orisuis	7.1
Streptococcus ovis	7.1
Streptococcus parasanguinis	7.1
Streptococcus parauberis	7.1
Streptococcus parvulus	7.2
Streptococcus pasteurianus	7.1
Streptococcus peroris	7.1
Streptococcus phocae	7.1
Streptococcus plantarum	7.1
Streptococcus pleomorphus	7.2
Streptococcus plurextorum	7.1
Streptococcus pneumoniae	7.38
Streptococcus porci	7.1
Streptococcus porcinus	7.1
Streptococcus porcorum	7.1
Streptococcus pseudopneumoniae	7.1
Streptococcus pseudoporcinus	7.1
Streptococcus pyogenes	7.1
Streptococcus raffinolactis	7.1
Streptococcus ratti	7.1
Streptococcus rattus	7.1
Streptococcus rupicaprae	7.1
Streptococcus saccharolyticus	7.1
Streptococcus salivarius	7.22
Streptococcus sanguinis	7.1
Streptococcus shiloi	7.1
Streptococcus sinensis	7.1
Streptococcus sobrinus	7.1
Streptococcus sp.	7.22
Streptococcus suis	7
Streptococcus thermophilus	7.28
Streptococcus thoraltensis	7.1
Streptococcus tigurinus	7.1
Streptococcus troglodytae	7.1
Streptococcus uberis	7.1
Streptococcus ursoris	7.1
Streptococcus vestibularis	7.1
Streptococcus viridans	7.23
Streptococcus waius	7.1
Streptococcus zooepidemicus	7.1
Streptohalobacillus salinus	7.6
Streptomonospora amylolytica	7.2
Streptomonospora arabica	7.4
Streptomonospora flavalba	7.6
Streptomonospora halophila	7.6
Streptomonospora nanhaiensis	7.2
Streptomonospora salina	7.2
Streptomonospora sediminis	7.6
Streptomyces abietis	7.2
Streptomyces abikoensis	7.2
Streptomyces aburaviensis	7.2
Streptomyces achromogenes	7.2
Streptomyces acidiscabies	7.2
Streptomyces acrimycini	7.2
Streptomyces afghaniensis	7.2
Streptomyces africanus	7.2
Streptomyces aidingensis	7.3
Streptomyces alanosinicus	7.2
Streptomyces albaduncus	7.2
Streptomyces albiaxialis	7.2
Streptomyces albidochromogenes	7.2
Streptomyces albidoflavus	7.2
Streptomyces albiflaviniger	7.2
Streptomyces albireticuli	7.2
Streptomyces albofaciens	7.2
Streptomyces alboflavus	7.2
Streptomyces albogriseolus	7.2
Streptomyces albolongus	7.2
Streptomyces alboniger	7.2
Streptomyces albospinus	7.3
Streptomyces albosporeus	7.18
Streptomyces alboverticillatus	7.2
Streptomyces albovinaceus	7.19
Streptomyces alboviridis	7.19
Streptomyces albulus	7.2
Streptomyces albus	7.2
Streptomyces aldersoniae	7.2
Streptomyces almquistii	7.2
Streptomyces alni	7.2
Streptomyces althioticus	7.2
Streptomyces amakusaensis	7.2
Streptomyces ambofaciens	7.2
Streptomyces aminophilus	7.2
Streptomyces anandii	7.2
Streptomyces angustmyceticus	7.2
Streptomyces anthocyanicus	7.2
Streptomyces antibioticus	7.19
Streptomyces antimycoticus	7.2
Streptomyces anulatus	7.19
Streptomyces aomiensis	7.2
Streptomyces arabicus	7.2
Streptomyces ardus	7.2
Streptomyces arenae	7.2
Streptomyces argenteolus	7.17
Streptomyces armeniacus	7.2
Streptomyces artemisiae	7.2
Streptomyces ascomycinicus	7.2
Streptomyces asiaticus	7.2
Streptomyces asterosporus	7.2
Streptomyces atacamensis	7.2
Streptomyces atratus	7.3
Streptomyces atriruber	7.2
Streptomyces atroaurantiacus	7.2
Streptomyces atroolivaceus	7.17
Streptomyces atrovirens	7.2
Streptomyces aurantiacus	7.18
Streptomyces aurantiogriseus	7.2
Streptomyces auratus	7.2
Streptomyces aureocirculatus	7.2
Streptomyces aureofaciens	7.19
Streptomyces aureorectus	7.2
Streptomyces aureoversilis	7.24
Streptomyces aureoverticillatus	7.2
Streptomyces aureus	7.2
Streptomyces autotrophicus	7.15
Streptomyces avellaneus	7.2
Streptomyces avermectinius	7.13
Streptomyces avermitilis	7.13
Streptomyces avicenniae	7.2
Streptomyces avidinii	7.15
Streptomyces axinellae	7.2
Streptomyces azaticus	7.2
Streptomyces azureus	7.2
Streptomyces baarnensis	7.2
Streptomyces bacillaris	7.2
Streptomyces badius	7.2
Streptomyces baldaccii	7.24
Streptomyces bambergiensis	7.2
Streptomyces bangladeshensis	7.2
Streptomyces barkulensis	7.2
Streptomyces beijiangensis	7.2
Streptomyces bellus	7.2
Streptomyces bikiniensis	7.2
Streptomyces biverticillatus	7.24
Streptomyces blastmyceticus	7.2
Streptomyces bluensis	7.2
Streptomyces bobili	7.2
Streptomyces bottropensis	7.2
Streptomyces brasiliensis	7.2
Streptomyces brevispora	7.2
Streptomyces bullii	7.2
Streptomyces bungoensis	7.2
Streptomyces cacaoi	7.2
Streptomyces caelestis	7.2
Streptomyces caeruleatus	7.2
Streptomyces caeruleus	7.2
Streptomyces californicus	7.2
Streptomyces calvus	7.2
Streptomyces canarius	7.2
Streptomyces candidus	7.2
Streptomyces canescens	7.2
Streptomyces cangkringensis	7.2
Streptomyces caniferus	7.2
Streptomyces canus	7.2
Streptomyces capillispiralis	7.2
Streptomyces capoamus	7.2
Streptomyces carpaticus	7.2
Streptomyces carpinensis	7.2
Streptomyces castelarensis	7.2
Streptomyces catenulae	7.2
Streptomyces caviscabies	7.2
Streptomyces cavourensis	7.2
Streptomyces cebimarensis	7.2
Streptomyces cellostaticus	7.2
Streptomyces celluloflavus	7.2
Streptomyces cellulosae	7.2
Streptomyces champavatii	7.2
Streptomyces chartreusis	7.19
Streptomyces chattanoogensis	7.2
Streptomyces cheonanensis	7.2
Streptomyces chiangmaiensis	7.2
Streptomyces chibaensis	7.2
Streptomyces chlorus	7.2
Streptomyces chrestomyceticus	7.2
Streptomyces chromofuscus	7.2
Streptomyces chryseus	7.2
Streptomyces chrysomallus	7.19
Streptomyces chungwhensis	7.2
Streptomyces cinereorectus	7.2
Streptomyces cinereoruber	7.2
Streptomyces cinereospinus	7.2
Streptomyces cinereus	7.15
Streptomyces cinerochromogenes	7.2
Streptomyces cinnabarinus	7.2
Streptomyces cinnamonensis	7.2
Streptomyces cinnamoneus	7.22
Streptomyces cirratus	7.2
Streptomyces ciscaucasicus	7.2
Streptomyces citreofluorescens	7.19
Streptomyces clavifer	7.2
Streptomyces clavuligerus	7.2
Streptomyces coacervatus	7.2
Streptomyces cochleatus	7.2
Streptomyces cocklensis	7.2
Streptomyces coelescens	7.2
Streptomyces coelicoflavus	7.2
Streptomyces coelicolor	7.2
Streptomyces coeruleofuscus	7.2
Streptomyces coeruleoprunus	7.2
Streptomyces coeruleorubidus	7.2
Streptomyces coerulescens	7.2
Streptomyces collinus	7.2
Streptomyces colombiensis	7.2
Streptomyces corchorusii	7.2
Streptomyces costaricanus	7.2
Streptomyces cremeus	7.2
Streptomyces crystallinus	7.2
Streptomyces curacoi	7.2
Streptomyces cyaneofuscatus	7.2
Streptomyces cyaneus	7.2
Streptomyces cyanoalbus	7.2
Streptomyces cystargineus	7.3
Streptomyces daghestanicus	7.2
Streptomyces daliensis	7.2
Streptomyces deccanensis	7.2
Streptomyces decoyicus	7.2
Streptomyces demainii	7.2
Streptomyces deserti	7.2
Streptomyces diastaticus	7.18
Streptomyces diastatochromogenes	7.2
Streptomyces distallicus	7.2
Streptomyces djakartensis	7.2
Streptomyces drozdowiczii	7.2
Streptomyces durhamensis	7.2
Streptomyces durmitorensis	7.2
Streptomyces echinatus	7.2
Streptomyces echinoruber	7.2
Streptomyces ederensis	7.2
Streptomyces ehimensis	7.2
Streptomyces emeiensis	7.2
Streptomyces endophyticus	7.2
Streptomyces endus	7.2
Streptomyces enissocaesilis	7.2
Streptomyces erringtonii	7.2
Streptomyces erumpens	7.19
Streptomyces erythraeus	7.2
Streptomyces erythrogriseus	7.2
Streptomyces eurocidicus	7.2
Streptomyces europaeiscabiei	7.2
Streptomyces eurythermus	7.2
Streptomyces exfoliatus	7.2
Streptomyces felleus	7.2
Streptomyces ferralitis	7.2
Streptomyces fervens	7.24
Streptomyces filamentosus	7.2
Streptomyces fildesensis	7.2
Streptomyces filipinensis	7.2
Streptomyces fimbriatus	7.2
Streptomyces fimicarius	7.2
Streptomyces finlayi	7.15
Streptomyces flaveolus	7.18
Streptomyces flaveus	7.2
Streptomyces flavidofuscus	7.2
Streptomyces flavidovirens	7.2
Streptomyces flaviscleroticus	7.2
Streptomyces flavofungini	7.2
Streptomyces flavofuscus	7.2
Streptomyces flavogriseus	7.18
Streptomyces flavopersicus	7.2
Streptomyces flavotricini	7.2
Streptomyces flavovariabilis	7.2
Streptomyces flavovirens	7.18
Streptomyces flavoviridis	7.2
Streptomyces flocculus	7.2
Streptomyces floridae	7.2
Streptomyces fluorescens	7.19
Streptomyces fradiae	7.2
Streptomyces fragilis	7.2
Streptomyces fulvissimus	7.2
Streptomyces fulvorobeus	7.2
Streptomyces fumanus	7.2
Streptomyces fumigatiscleroticus	7.2
Streptomyces galbus	7.2
Streptomyces galilaeus	7.2
Streptomyces gancidicus	7.2
Streptomyces gardneri	7.2
Streptomyces gelaticus	7.2
Streptomyces geldanamycininus	7.2
Streptomyces geysiriensis	7.2
Streptomyces ghanaensis	7.2
Streptomyces gibsonii	7.2
Streptomyces ginsengisoli	7.2
Streptomyces glaucescens	7.2
Streptomyces glauciniger	7.25
Streptomyces glaucosporus	7.2
Streptomyces glaucus	7.2
Streptomyces globisporus	7.2
Streptomyces globosus	7.2
Streptomyces glomeratus	7.2
Streptomyces glomeroaurantiacus	7.2
Streptomyces gobitricini	7.2
Streptomyces goshikiensis	7.2
Streptomyces gougerotii	7.2
Streptomyces graminearus	7.2
Streptomyces gramineus	7.2
Streptomyces graminofaciens	7.2
Streptomyces griseiniger	7.2
Streptomyces griseinus	7.19
Streptomyces griseoaurantiacus	7.2
Streptomyces griseobrunneus	7.2
Streptomyces griseocarneus	7.2
Streptomyces griseochromogenes	7.2
Streptomyces griseoflavus	7.2
Streptomyces griseofuscus	7.2
Streptomyces griseoincarnatus	7.2
Streptomyces griseoloalbus	7.2
Streptomyces griseolosporeus	7.2
Streptomyces griseolus	7.2
Streptomyces griseoluteus	7.2
Streptomyces griseomycini	7.2
Streptomyces griseoplanus	7.2
Streptomyces griseorubens	7.2
Streptomyces griseoruber	7.2
Streptomyces griseorubiginosus	7.2
Streptomyces griseosporeus	7.2
Streptomyces griseostramineus	7.2
Streptomyces griseoverticillatus	7.22
Streptomyces griseoviridis	7.2
Streptomyces griseus	7.19
Streptomyces guanduensis	7.2
Streptomyces gulbargensis	7.2
Streptomyces hachijoensis	7.22
Streptomyces hainanensis	7.2
Streptomyces haliclonae	7.2
Streptomyces halotolerans	7.6
Streptomyces halstedii	7.2
Streptomyces harbinensis	7.2
Streptomyces hawaiiensis	7.2
Streptomyces hebeiensis	7.2
Streptomyces heilongjiangensis	7.2
Streptomyces heliomycini	7.2
Streptomyces helvaticus	7.2
Streptomyces herbaceus	7.2
Streptomyces herbaricolor	7.2
Streptomyces hiroshimensis	7.24
Streptomyces hirsutus	7.2
Streptomyces hoynatensis	7.2
Streptomyces humidus	7.2
Streptomyces humiferus	7.2
Streptomyces hyderabadensis	7.2
Streptomyces hydrogenans	7.2
Streptomyces hygroscopicus	7.2
Streptomyces hypolithicus	7.2
Streptomyces iakyrus	7.2
Streptomyces iconiensis	7.2
Streptomyces incanus	7.2
Streptomyces indiaensis	7.2
Streptomyces indicus	7.2
Streptomyces indigoferus	7.2
Streptomyces indonesiensis	7.2
Streptomyces intermedius	7.2
Streptomyces inusitatus	7.2
Streptomyces ipomoeae	7.2
Streptomyces iranensis	7.2
Streptomyces janthinus	7.2
Streptomyces jietaisiensis	7.25
Streptomyces jiujiangensis	7.2
Streptomyces kaempferi	7.2
Streptomyces kanamyceticus	7.2
Streptomyces karpasiensis	7.2
Streptomyces kashimirensis	7.2
Streptomyces kashmirensis	7.2
Streptomyces kasugaensis	7.2
Streptomyces katrae	7.2
Streptomyces kebangsaanensis	7.2
Streptomyces kentuckensis	7.2
Streptomyces kifunensis	7.2
Streptomyces kishiwadensis	7.2
Streptomyces koyangensis	7.2
Streptomyces kunmingensis	7.2
Streptomyces kurssanovii	7.2
Streptomyces labedae	7.2
Streptomyces laceyi	7.2
Streptomyces lacticiproducens	7.2
Streptomyces laculatispora	7.2
Streptomyces ladakanum	7.2
Streptomyces lanatus	7.2
Streptomyces lannensis	7.2
Streptomyces lateritius	7.2
Streptomyces laurentii	7.2
Streptomyces lavendofoliae	7.2
Streptomyces lavendulae	7.2
Streptomyces lavenduligriseus	7.2
Streptomyces lavendulocolor	7.2
Streptomyces leeuwenhoekii	7.2
Streptomyces levis	7.2
Streptomyces libani	7.2
Streptomyces lienomycini	7.2
Streptomyces lilacinus	7.2
Streptomyces limosus	7.2
Streptomyces lincolnensis	7.2
Streptomyces lipmanii	7.19
Streptomyces litmocidini	7.2
Streptomyces lomondensis	7.2
Streptomyces longisporoflavus	7.2
Streptomyces longispororuber	7.18
Streptomyces longisporus	7.2
Streptomyces longwoodensis	7.3
Streptomyces lucensis	7.2
Streptomyces lunalinharesii	7.2
Streptomyces luridiscabiei	7.2
Streptomyces luridus	7.2
Streptomyces lusitanus	7.2
Streptomyces luteireticuli	7.2
Streptomyces luteofluorescens	7.2
Streptomyces luteogriseus	7.2
Streptomyces luteosporeus	7.2
Streptomyces luteoverticillatus	7.2
Streptomyces lydicus	7.2
Streptomyces macrosporus	7.1
Streptomyces malachitofuscus	7.2
Streptomyces malachitospinus	7.2
Streptomyces malaysiensis	7.2
Streptomyces marinus	7.2
Streptomyces maritimus	7.2
Streptomyces marokkonensis	7.2
Streptomyces mashuensis	7.2
Streptomyces massasporeus	7.2
Streptomyces matensis	7.2
Streptomyces mauvecolor	7.2
Streptomyces mediocidicus	7.2
Streptomyces mediolani	7.19
Streptomyces megasporus	7.2
Streptomyces melanogenes	7.2
Streptomyces melanosporofaciens	7.2
Streptomyces mexicanus	7.2
Streptomyces michiganensis	7.2
Streptomyces microflavus	7.19
Streptomyces milbemycinicus	7.2
Streptomyces minutiscleroticus	7.2
Streptomyces mirabilis	7.2
Streptomyces misakiensis	7.2
Streptomyces misionensis	7.2
Streptomyces mobaraensis	7.2
Streptomyces monomycini	7.2
Streptomyces mordarskii	7.2
Streptomyces morookaense	7.2
Streptomyces murinus	7.2
Streptomyces mutabilis	7.2
Streptomyces mutomycini	7.2
Streptomyces naganishii	7.2
Streptomyces nanhaiensis	7.2
Streptomyces nanningensis	7.2
Streptomyces narbonensis	7.2
Streptomyces nashvillensis	7.2
Streptomyces netropsis	7.2
Streptomyces neyagawaensis	7.2
Streptomyces niger	7.2
Streptomyces nigrescens	7.2
Streptomyces nigrifaciens	7.18
Streptomyces nitrificans	7.37
Streptomyces nitrosporeus	7.2
Streptomyces niveoruber	7.2
Streptomyces niveus	7.2
Streptomyces noboritoensis	7.2
Streptomyces nodosus	7.2
Streptomyces nogalater	7.2
Streptomyces nojiriensis	7.2
Streptomyces noursei	7.2
Streptomyces novaecaesareae	7.2
Streptomyces ochraceiscleroticus	7.2
Streptomyces odorifer	7.2
Streptomyces olivaceiscleroticus	7.2
Streptomyces olivaceoviridis	7.2
Streptomyces olivaceus	7.19
Streptomyces olivochromogenes	7.2
Streptomyces olivoreticuli	7.2
Streptomyces olivoverticillatus	7.2
Streptomyces olivoviridis	7.17
Streptomyces omiyaensis	7.2
Streptomyces orinoci	7.2
Streptomyces ornatus	7.19
Streptomyces pactum	7.2
Streptomyces panacagri	7.2
Streptomyces panaciterrae	7.2
Streptomyces paracochleatus	7.2
Streptomyces paradoxus	7.2
Streptomyces parvisporogenes	7.2
Streptomyces parvulus	7.2
Streptomyces parvus	7.2
Streptomyces pathocidini	7.2
Streptomyces paucisporeus	7.2
Streptomyces peucetius	7.2
Streptomyces phaeochromogenes	7.2
Streptomyces phaeofaciens	7.2
Streptomyces phaeogriseichromatogenes	7.2
Streptomyces phaeoluteichromatogenes	7.2
Streptomyces phaeoluteigriseus	7.2
Streptomyces phaeopurpureus	7.2
Streptomyces phaeoviridis	7.2
Streptomyces pharetrae	7.2
Streptomyces pharmamarensis	7.2
Streptomyces phosalacineus	7.2
Streptomyces phytohabitans	7.2
Streptomyces pilosus	7.2
Streptomyces platensis	7.2
Streptomyces plicatus	7.2
Streptomyces plumbiresistens	7.2
Streptomyces pluricolorescens	7.2
Streptomyces pluripotens	7.2
Streptomyces polyantibioticus	7.2
Streptomyces polychromogenes	7.2
Streptomyces poonensis	7.2
Streptomyces praecox	7.19
Streptomyces prasinopilosus	7.2
Streptomyces prasinosporus	7.2
Streptomyces prasinus	7.2
Streptomyces pratens	7.2
Streptomyces prunicolor	7.2
Streptomyces psammoticus	7.2
Streptomyces pseudoechinosporeus	7.2
Streptomyces pseudogriseolus	7.2
Streptomyces pseudovenezuelae	7.2
Streptomyces pulveraceus	7.2
Streptomyces puniceus	7.2
Streptomyces purpeofuscus	7.2
Streptomyces purpurascens	7.2
Streptomyces purpureus	7.07
Streptomyces purpurogeneiscleroticus	7.2
Streptomyces qinglanensis	7.2
Streptomyces racemochromogenes	7.2
Streptomyces radiopugnans	7.2
Streptomyces rameus	7.2
Streptomyces ramulosus	7.2
Streptomyces rangoon	7.2
Streptomyces rangoonensis	7.2
Streptomyces rapamycinicus	7.15
Streptomyces recifensis	7.2
Streptomyces rectiverticillatus	7.24
Streptomyces rectiviolaceus	7.2
Streptomyces regensis	7.2
Streptomyces resistomycificus	7.2
Streptomyces rhizosphaericus	7.2
Streptomyces rhizosphaerius	7.2
Streptomyces rimosus	7.2
Streptomyces rishiriensis	7.2
Streptomyces rochei	7.19
Streptomyces rosealbus	7.2
Streptomyces roseiscleroticus	7.2
Streptomyces roseoalbus	7.2
Streptomyces roseodiastaticus	7.2
Streptomyces roseoflavus	7.2
Streptomyces roseofulvus	7.2
Streptomyces roseolilacinus	7.2
Streptomyces roseolus	7.2
Streptomyces roseoverticillatus	7.24
Streptomyces roseoviolaceus	7.2
Streptomyces roseoviridis	7.2
Streptomyces ruanii	7.2
